Id,Name,Date(created_at),Tweet(text),User_id,Screen_name,Location
1.14614E+18,SAIA York,Tue Jul 02 19:34:25 +0000 2019,rt palestineturtle linda frum is throwing a dual loyalty accusation against iranian canadians by accusing them of being agents for iran ,472598445,SaiaYork,York University
,,,,,,
1.14614E+18,Riq,Tue Jul 02 19:34:25 +0000 2019,not rocket science,2934942316,tsquared_99,"Yuma, AZ "
,,,,,,
1.14614E+18,"CEO, Procrastination",Tue Jul 02 19:34:25 +0000 2019,rt vickysanderson today i saw an indigenous woman putting a poster about mmiw on a statue of macdonald at queen s park get handcuffed ,7.26838E+17,hbicofyourass,"Kelowna, BC, Canada"
,,,,,,
1.14614E+18,IADNAM,Tue Jul 02 19:34:25 +0000 2019,rt georginabasset2 canadaday 152 years old and no chief nurse needs to be addressed how else will government understand the capability ,3257869126,IADNAM1,
,,,,,,
1.14614E+18,Travis Pearson,Tue Jul 02 19:34:25 +0000 2019,rt jandles so many idiots with this take kd kd had a 3 1 lead to gsw kd and co blew said 3 1 lead kd went and joined said team ,716883416,___TP7___,
,,,,,,
1.14614E+18,KING,Tue Jul 02 19:34:26 +0000 2019,rt jandles so many idiots with this take kd kd had a 3 1 lead to gsw kd and co blew said 3 1 lead kd went and joined said team ,3290646382,GloQuon,
,,,,,,
1.14614E+18,CFUW,Tue Jul 02 19:34:26 +0000 2019,rt ntipresident inuit leaders are calling on the canadian government to make a real commitment to protect inuit languages  t co m ,3081554303,CFUWFCFDU,Ottawa
,,,,,,
1.14614E+18,Anthony Ledesma,Tue Jul 02 19:34:27 +0000 2019, andrew lopez that was the best man i wonder what canada thinks about that ,3312881170,ac_ledesma,
,,,,,,
1.14614E+18,Hugh.Freeman,Tue Jul 02 19:34:27 +0000 2019,rt kilojamin first canada day in my life i don t feel proud or patriotic this is not the canada i knew and loved don t even recognize i ,1.11528E+18,HughFreeman15,
,,,,,,
